number	value fitness deviation

    1,	771918.271,305422.423,283799.952


    2,	771918.271,36342.514,5810.823


    3,	771918.271,37261.174,6497.305


    4,	771918.271,39224.122,7027.279


    5,	771918.271,38734.854,8331.468


    6,	771918.271,39010.593,6885.241


    7,	771918.271,39072.564,8260.835


    8,	771918.271,39099.550,9362.121


    9,	771918.271,39931.027,7715.717


   10,	771918.271,40546.700,7688.778


   11,	771918.271,40356.313,7279.376


   12,	771918.271,37823.808,9648.110


   13,	771918.271,37272.650,7713.547


   14,	771918.271,36669.647,8197.931


   15,	771918.271,37371.192,6985.945


   16,	771918.271,40308.849,7507.415


   17,	771918.271,39638.842,7603.851


   18,	771918.271,39035.243,8923.544


   19,	771918.271,40104.476,8273.990


   20,	771918.271,39474.087,8606.995


   21,	771918.271,41214.434,9907.861


   22,	771918.271,41369.658,9828.729


   23,	771918.271,43978.414,10562.926


   24,	771918.271,45586.546,9917.089


   25,	771918.271,46328.542,7866.117


   26,	771918.271,46417.557,8078.315


   27,	771918.271,41875.118,8210.387


   28,	771918.271,42874.687,9016.280


   29,	771918.271,41795.837,6910.461


   30,	771918.271,39838.046,6773.198


   31,	771918.271,41537.487,8591.395


   32,	771918.271,41535.018,9714.361


   33,	771918.271,39389.820,7857.211


   34,	771918.271,39069.637,8717.148


   35,	771918.271,40191.735,9940.145


   36,	771918.271,40057.745,10848.328


   37,	771918.271,40546.690,9684.095


   38,	771918.271,41568.784,9413.793


   39,	771918.271,39998.945,10425.301


   40,	771918.271,41997.270,10058.163


   41,	771918.271,42046.449,10196.014


   42,	771918.271,44791.307,11491.373


   43,	771918.271,45729.268,10857.200


   44,	771918.271,46412.136,10871.764


   45,	771918.271,45084.994,9499.426


   46,	771918.271,41421.061,7776.405


   47,	771918.271,41900.923,7929.505


   48,	771918.271,40901.616,8950.816


   49,	771918.271,39187.685,9550.210


   50,	771918.271,36959.661,8209.803


   51,	771918.271,40283.284,10547.990


   52,	771918.271,41782.950,10143.458


   53,	771918.271,43620.359,9455.161


   54,	771918.271,42459.189,8790.545


   55,	771918.271,41448.307,11423.218


   56,	771918.271,42427.511,9906.366


   57,	771918.271,43586.486,5632.993


   58,	771918.271,43485.509,5387.618


   59,	771918.271,42182.892,7021.473


   60,	771918.271,44555.181,9324.838


   61,	771918.271,44773.849,9830.370


   62,	771918.271,43064.006,9627.031


   63,	771918.271,43249.052,7182.434


   64,	771918.271,43667.916,7340.226


   65,	771918.271,43373.135,9101.793


   66,	771918.271,44745.705,13060.242


   67,	771918.271,45217.804,12023.905


   68,	771918.271,46168.052,11069.111


   69,	771918.271,46592.731,10096.463


   70,	771918.271,45379.100,7660.285


   71,	771918.271,42876.758,5866.301


   72,	771918.271,40340.289,7954.416


   73,	771918.271,41096.030,7361.343


   74,	771918.271,41038.566,6080.259


