number	value fitness deviation

    1,	50336.457,33973.777,8333.623


    2,	51442.394,35090.599,8126.203


    3,	55718.892,36552.503,8281.387


    4,	62988.834,37000.763,9945.311


    5,	64739.234,38867.358,9526.080


    6,	65388.362,40827.721,9421.762


    7,	65388.362,44815.787,10735.385


    8,	65388.362,44366.309,8927.397


    9,	65388.362,44817.272,8190.788


   10,	71096.318,44826.001,9125.220


   11,	71096.318,44776.977,12137.201


   12,	74626.334,46498.308,12340.300


   13,	74626.334,44620.364,10697.086


   14,	74626.334,45803.291,9181.600


   15,	74626.334,47618.666,8784.398


   16,	74626.334,45684.633,9286.308


   17,	74626.334,45170.108,8610.488


   18,	74626.334,45132.696,8851.274


   19,	74626.334,41330.469,7796.049


   20,	74626.334,43545.897,7109.149


   21,	74626.334,43496.053,8754.404


   22,	74626.334,42862.984,9353.542


   23,	74626.334,42236.438,9351.837


   24,	74626.334,40359.040,7865.941


   25,	74626.334,39558.315,9138.057


   26,	74626.334,40241.530,9988.303


   27,	74626.334,40637.149,11157.123


   28,	74626.334,41909.382,10851.777


   29,	74626.334,42569.308,8064.924


   30,	74626.334,43101.411,7689.280


   31,	74626.334,44282.416,9342.373


   32,	74626.334,44978.656,10254.091


   33,	74626.334,43694.074,10651.134


   34,	74626.334,45037.539,10536.192


   35,	74626.334,46240.193,8577.853


   36,	74626.334,47710.989,8101.381


   37,	74626.334,47925.255,8140.985


   38,	74626.334,46879.826,7203.824


   39,	74626.334,46839.692,8726.799


   40,	74626.334,45576.883,10143.085


   41,	74626.334,44103.855,7872.839


   42,	74626.334,45236.889,8981.812


   43,	74626.334,43734.102,10039.959


   44,	74626.334,40840.680,7774.527


   45,	74626.334,40963.746,7722.022


   46,	74626.334,42212.418,7023.484


   47,	74626.334,42372.630,7069.286


   48,	74626.334,43341.795,8616.617


   49,	74626.334,44845.811,10133.452


   50,	74626.334,44535.807,10915.785


   51,	74626.334,46161.433,7999.121


   52,	74626.334,46252.849,9359.620


   53,	77025.725,46661.075,11568.916


   54,	77025.725,47227.931,10349.847


   55,	77025.725,47772.134,7780.272


   56,	77025.725,46364.422,7991.811


   57,	77025.725,46374.900,8074.857


   58,	77025.725,47806.922,7548.955


   59,	77025.725,45188.481,9814.438


   60,	77025.725,44704.454,9270.628


   61,	77025.725,44847.927,6331.672


   62,	77025.725,44757.431,8680.966


   63,	77025.725,42657.463,7699.344


   64,	77025.725,42395.699,8544.380


   65,	77025.725,43318.185,8879.924


   66,	77025.725,43076.437,9046.047


   67,	77025.725,42973.125,9023.401


   68,	77025.725,41531.255,9427.697


   69,	77025.725,39741.083,8260.528


   70,	77025.725,39707.777,7721.971


   71,	77025.725,41605.733,8333.723


   72,	77025.725,41492.199,8042.273


   73,	77025.725,43330.505,7757.562


   74,	77025.725,43749.797,7731.118


   75,	77025.725,44436.566,7543.505


   76,	77025.725,45343.876,8750.029


   77,	77025.725,42737.404,9160.800


   78,	77025.725,44077.568,8148.865


   79,	77025.725,44262.522,7575.073


   80,	77025.725,42291.390,7357.143


   81,	77025.725,43063.604,8961.466


   82,	77025.725,44144.291,6365.195


   83,	77025.725,43071.449,7121.272


   84,	77025.725,42373.245,8752.546


   85,	77025.725,41447.251,10202.008


   86,	77025.725,44567.075,10020.544


   87,	77025.725,44315.433,8957.243


   88,	77025.725,45411.342,7031.594


   89,	77025.725,45682.461,5178.961


   90,	77025.725,41435.511,7788.397


   91,	77025.725,41323.971,7597.552


   92,	77025.725,40876.724,6460.444


   93,	77025.725,39730.080,7874.153


   94,	77025.725,37945.635,8247.163


   95,	77025.725,39793.380,7410.178


   96,	77025.725,42120.122,6824.953


   97,	77025.725,43230.775,6852.182


   98,	77025.725,41548.208,7455.186


   99,	77025.725,44802.210,11340.010


  100,	77025.725,45928.730,10500.050


  101,	77025.725,44276.028,10765.001


  102,	77025.725,40762.356,9276.262


  103,	77025.725,42585.681,10799.593


  104,	77025.725,41969.326,9082.499


  105,	77025.725,42756.393,9553.060


  106,	77025.725,41540.790,9175.857


  107,	77025.725,38738.994,9471.008


  108,	77025.725,40532.514,9372.090


  109,	77025.725,41392.108,9161.436


  110,	77025.725,41890.425,7397.220


  111,	77025.725,42086.296,8371.600


  112,	77025.725,40572.258,9935.991


  113,	77025.725,40445.137,10101.713


  114,	77025.725,39617.321,8010.091


  115,	77025.725,39528.274,10010.316


  116,	77025.725,41546.662,9828.567


  117,	77025.725,41596.828,8547.232


  118,	77025.725,44698.899,9162.123


  119,	77025.725,44728.685,10814.946


  120,	77025.725,44810.134,9969.841


  121,	77025.725,45792.303,8683.364


  122,	77025.725,42915.900,9565.830


  123,	77025.725,43023.135,9955.176


  124,	77025.725,40460.158,6249.699


  125,	77025.725,39859.063,5272.371


  126,	77025.725,40126.368,7212.420


  127,	77025.725,42191.917,8462.632


  128,	77025.725,43467.296,12435.806


  129,	77025.725,45478.831,9006.672


  130,	77025.725,46566.395,8651.785


  131,	77025.725,47235.416,7966.386


  132,	77025.725,46062.721,9626.010


  133,	77025.725,44449.041,7502.653


  134,	77025.725,41819.223,7064.863


  135,	77025.725,39754.066,8129.175


  136,	77025.725,36345.264,7785.733


  137,	77025.725,39019.814,10475.765


  138,	77025.725,42597.318,8498.370


  139,	77025.725,43370.974,10004.576


  140,	77025.725,43866.935,10339.607


  141,	77025.725,46962.225,12904.418


  142,	77025.725,41253.882,8794.450


  143,	77025.725,41425.360,7531.077


  144,	77025.725,41676.043,9958.498


  145,	77025.725,42767.781,11604.618


  146,	77025.725,41577.302,10848.094


  147,	77025.725,43639.625,12392.076


  148,	77025.725,41884.799,11725.388


  149,	77025.725,44397.167,10519.233


  150,	77025.725,43671.423,10437.445


  151,	77025.725,43282.407,9196.579


  152,	77025.725,41353.982,8144.168


  153,	77025.725,40970.777,9089.176


  154,	77025.725,40912.361,9223.476


  155,	77025.725,41187.304,10390.610


  156,	77025.725,42026.947,10233.627


  157,	77025.725,40805.693,10010.617


  158,	77025.725,39097.251,8186.886


  159,	77025.725,40385.300,9492.534


  160,	77025.725,42465.065,10039.928


  161,	77025.725,40895.641,9621.069


  162,	77025.725,44251.886,8175.070


  163,	77025.725,45890.064,8753.582


  164,	77025.725,45773.655,8269.650


  165,	77025.725,44849.160,9802.574


  166,	77025.725,44047.788,10544.035


  167,	77025.725,43276.149,9537.184


  168,	77025.725,42350.353,8255.350


  169,	77025.725,42185.522,8537.754


  170,	77025.725,41998.375,7476.814


  171,	77025.725,41951.691,7443.492


  172,	77025.725,43187.655,7071.223


  173,	77025.725,43647.512,7727.225


  174,	77025.725,43880.941,9588.089


  175,	77025.725,46304.759,7750.886


  176,	77025.725,44992.610,8521.374


  177,	77025.725,44547.798,9337.770


  178,	77025.725,45029.467,7843.519


  179,	77025.725,45179.668,8374.038


  180,	77025.725,44207.591,8122.165


  181,	77025.725,43958.187,9337.344


  182,	77025.725,42659.590,8987.883


  183,	77025.725,45761.646,11424.555


  184,	77025.725,42706.413,9855.520


  185,	77025.725,40094.938,8499.897


  186,	77025.725,39616.719,8167.364


  187,	77025.725,39665.765,7458.970


  188,	77025.725,37985.961,7697.814


  189,	77025.725,38529.586,8422.068


  190,	77025.725,39966.924,8211.052


  191,	77025.725,39989.232,9899.754


  192,	77025.725,42921.599,10398.812


  193,	77025.725,42172.904,10087.826


  194,	77025.725,43171.867,8069.040


  195,	77025.725,41660.197,8360.511


